number_of_elements,mean_atomic_mass,wtd_mean_atomic_mass,gmean_atomic_mass,wtd_gmean_atomic_mass,entropy_atomic_mass,wtd_entropy_atomic_mass,range_atomic_mass,wtd_range_atomic_mass,std_atomic_mass,wtd_std_atomic_mass,mean_fie,wtd_mean_fie,gmean_fie,wtd_gmean_fie,entropy_fie,wtd_entropy_fie,range_fie,wtd_range_fie,std_fie,wtd_std_fie,mean_atomic_radius,wtd_mean_atomic_radius,gmean_atomic_radius,wtd_gmean_atomic_radius,entropy_atomic_radius,wtd_entropy_atomic_radius,range_atomic_radius,wtd_range_atomic_radius,std_atomic_radius,wtd_std_atomic_radius,mean_Density,wtd_mean_Density,gmean_Density,wtd_gmean_Density,entropy_Density,wtd_entropy_Density,range_Density,wtd_range_Density,std_Density,wtd_std_Density,mean_ElectronAffinity,wtd_mean_ElectronAffinity,gmean_ElectronAffinity,wtd_gmean_ElectronAffinity,entropy_ElectronAffinity,wtd_entropy_ElectronAffinity,range_ElectronAffinity,wtd_range_ElectronAffinity,std_ElectronAffinity,wtd_std_ElectronAffinity,mean_FusionHeat,wtd_mean_FusionHeat,gmean_FusionHeat,wtd_gmean_FusionHeat,entropy_FusionHeat,wtd_entropy_FusionHeat,range_FusionHeat,wtd_range_FusionHeat,std_FusionHeat,wtd_std_FusionHeat,mean_ThermalConductivity,wtd_mean_ThermalConductivity,gmean_ThermalConductivity,wtd_gmean_ThermalConductivity,entropy_ThermalConductivity,wtd_entropy_ThermalConductivity,range_ThermalConductivity,wtd_range_ThermalConductivity,std_ThermalConductivity,wtd_std_ThermalConductivity,mean_Valence,wtd_mean_Valence,gmean_Valence,wtd_gmean_Valence,entropy_Valence,wtd_entropy_Valence,range_Valence,wtd_range_Valence,std_Valence,wtd_std_Valence,critical_temp
,,,,,,1.53844032166998,,,,,,,,,1.54826833038836,,764.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.21068818101359,,,,,,,4.4471,,,,,,,,,99.605316,69.814619,,,0.698480362719894,0.551695939193148,,,,,,,,,,1.37964913699855,1.0,,,,45.0
,,,29.7729760410081,,,,,,,,,,,,,,772.0,,,353.142555112798,,,,,1.6626390210505102,1.17125112507737,,,,66.7077101765947,,,,,,,,,,,,,,,,,135.97,,,,,,3.22672050298144,,,0.964334991350474,13.578,,,,,,,,,,,,,,,,,,,,,,,,14.0
,,,64.57027460021321,,,1.53614791392244,,11.932392638036802,,,,1001.4435582822099,,,,,810.6,,,,,,,92.56714397044479,,,,20.552147239263803,,,,,,,,,,,,,,,,,,,,72.4693251533742,61.474345413351095,,,,,,,,,,,,,100.890835214724,,,,,,,,,,2.0,,,,,0.0,,,,134.0
,,,,51.0459902279191,,,,,0.5273,,,,,,,,,,,,,,,170.49329657722402,0.693037111274792,,5.0,,,,,,,,,,,,,324.0,,,,,,,,,,,,,,,,,2.3,,,,62.5,,,,0.5601272343229421,,,,,,,,,,,,,,,,1.88
,,,,34.5265043310889,1.5940316316345302,,,,,,,,,,,,,,,,,,,,1.6996423827324398,,,,71.90657519000301,,,,,,1.47936585953575,,,,,3678.7680094888597,64.12,,,,,,,,50.9447298550105,,,,,,1.60721214547301,,12.878,,,5.446816739318111,,103.29892769230801,,,,,,,,,,,,,,,,,,,96.0
,,,,,,,,,,13.539849685724,,,,,,,,,,,,,,,1.05018210057105,1.0890308713038,,16.8,,,,,,,,,,,,,48.866666666666696,,40.863168680595,,,,,,,,,,,,0.809865001294472,,,,,,,,,,,,,,,,,,,2.9541769390627795,,,,,1.63299316185545,,3.7
5.0,,,,,,,,,,64.0092292023877,,,,,,,,,,,,,,,,,,,,,,,,,1.1617743565100702,,,,,,,,,,,,,,,52.528536579648,,,,,,,,1.6087387862796798,,,,,,,0.87197627698413,,,,,,,,,,,,,,,,86.0
,49.40425,,,49.0738823332164,,0.678636746700183,,,,1.5061912428373798,,,,,,,,,,,,,,,,,,37.2,2.5,,,,5247.644233367961,,,,,,,785.3064115362869,,,,,,,,,,,,,,,,,,,,,,,26.1151297144012,,,,,,,4.40908153700972,,,,4.37344829577311,,,,,,,7.15
,,,,,,0.8951855675260891,,27.956033,,21.9644946032876,,,,,1.09860560863186,0.82471938650287,,,,,,,,,,,,,12.684198393627,11.3912246927185,,,,,,,,,,,46.4333333333333,,,,,,78.5,,,,,21.65,21.91451676123111,,,,,10.17,,,,,,30.191022111531897,1.00396389604647,,,,,,,,,,,,,,,,8.6
,,,31.3868781335258,,,,,17.5626833333333,,,,,,,,,,,,,,,,113.440433963843,,,,,,,,,3664.83120764123,3898.8136950293,,,,,,,,,,,1.30707664361548,,,,,,,,,,,,,,,,,,,,1.26153015361395,,,,,,,,,2.7494592739972097,,,,,0.6324555320336761,,14.8
