number_of_elements,mean_atomic_mass,wtd_mean_atomic_mass,gmean_atomic_mass,wtd_gmean_atomic_mass,entropy_atomic_mass,wtd_entropy_atomic_mass,range_atomic_mass,wtd_range_atomic_mass,std_atomic_mass,wtd_std_atomic_mass,mean_fie,wtd_mean_fie,gmean_fie,wtd_gmean_fie,entropy_fie,wtd_entropy_fie,range_fie,wtd_range_fie,std_fie,wtd_std_fie,mean_atomic_radius,wtd_mean_atomic_radius,gmean_atomic_radius,wtd_gmean_atomic_radius,entropy_atomic_radius,wtd_entropy_atomic_radius,range_atomic_radius,wtd_range_atomic_radius,std_atomic_radius,wtd_std_atomic_radius,mean_Density,wtd_mean_Density,gmean_Density,wtd_gmean_Density,entropy_Density,wtd_entropy_Density,range_Density,wtd_range_Density,std_Density,wtd_std_Density,mean_ElectronAffinity,wtd_mean_ElectronAffinity,gmean_ElectronAffinity,wtd_gmean_ElectronAffinity,entropy_ElectronAffinity,wtd_entropy_ElectronAffinity,range_ElectronAffinity,wtd_range_ElectronAffinity,std_ElectronAffinity,wtd_std_ElectronAffinity,mean_FusionHeat,wtd_mean_FusionHeat,gmean_FusionHeat,wtd_gmean_FusionHeat,entropy_FusionHeat,wtd_entropy_FusionHeat,range_FusionHeat,wtd_range_FusionHeat,std_FusionHeat,wtd_std_FusionHeat,mean_ThermalConductivity,wtd_mean_ThermalConductivity,gmean_ThermalConductivity,wtd_gmean_ThermalConductivity,entropy_ThermalConductivity,wtd_entropy_ThermalConductivity,range_ThermalConductivity,wtd_range_ThermalConductivity,std_ThermalConductivity,wtd_std_ThermalConductivity,mean_Valence,wtd_mean_Valence,gmean_Valence,wtd_gmean_Valence,entropy_Valence,wtd_entropy_Valence,range_Valence,wtd_range_Valence,std_Valence,wtd_std_Valence,critical_temp
6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.5275675675676,,,,,1050.4766475685,,,,,,2612.86837656012,,,,,,,,,57.283297297297295,50.1571941499921,,14.160333333333302,,7.750954990527309,,,,,,,,,,,,,,,,,,,,2.99379516552391,,,,,,,,31.0
,,,90.00379371674869,,,,,53.221381720430095,,,,,,,,,,,,,,,,,,,,42.1290322580645,,,,,1763.1905324208801,,,,,,,,,,,,,,135.97,,,,,,,,,,12.878,,,,,,,,,,,107.52402365591401,140.29145078614,,,,,,,1.6526312787542,,,,,39.06
,,,,,,,,,,,740.52,,,,1.53695955961142,,810.6,,,343.257315816485,,,155.938199338429,,,,,37.0230769230769,,,,,,,1.32393024336346,,8958.571,,,,72.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.455427019919,,,,,,,,,0.8,,86.0
,,,,,,,121.3276,,39.8347297779162,,782.44,,,,,,,,279.788738872743,,,,,,,,,,,79.621435905804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3
,,,,,,,,,52.0300945,,,,,,0.682547677978656,,,,,,,,,,,,,105.0,12.0,,,,,,,,10730.0,1602.5,,,,,,110.811643977173,,,,,,,19.65,,,,,0.394951548735608,,,,,,,,,,,,,,,,,5.0,,,0.562335144618808,,,,,1.5
,,,,35.2119372003059,,,,,43.8233541228786,,,,,,1.31500430814302,,,,,342.698129342035,164.5,,,,,,,22.8438228438228,,,,,,,,,,,,,,,,,,,,,54.8307552268797,,,,,,,,,2.93510955710956,4.9481552875794,,108.756645,,,,,,,,,,,,2.2133638394006403,,,,,,,,93.5
,,,,,,,,,,,,779.165,,,1.09750609245545,,,,,,,,,,,,,,,,,,3172.74494137967,,,0.626858953750443,,,2549.0130551951997,,,,,,,,,,,,,,17.906926982071102,,,,,,,19.449511490580498,,,,,,,,,,62.593310940990804,,,,,,,,,,,36.2
3.0,,,,,,,,,,,,,,,1.01104513187303,,,,,338.894499623408,,,,,,,,,52.493385826745396,,,4081.31275,,,0.6657495861093511,0.6884391186629469,7308.749,,3010.6550596912707,,,,,,,,,,,,,,2.79975848256958,,,0.327050475385605,,,,,,,,,,,,,,,,,,,,0.9799711820833052,,,,,7.3
3.0,,,45.570983970364104,,,,,,,,714.9,,,,,,,,,,,,150.44578497042696,,,,,,52.7320269538984,,,,,,,,,,3193.19349032699,,,,,,1.02308272386545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05790542470367,,,,,,5.74
,,,,,,,17.364,,,,,,759.6579882340849,,,,,,,58.6109733980478,,,,,,,100.0,,40.87480886805471,,,,,,,,,,748.424470137101,,,,,,,,,,58.1512037708593,,41.675,,19.2397733972516,,,,,,,,,,,,,,,,,61.7580040696481,,,,,,,,,,,35.6
