number_of_elements,mean_atomic_mass,wtd_mean_atomic_mass,gmean_atomic_mass,wtd_gmean_atomic_mass,entropy_atomic_mass,wtd_entropy_atomic_mass,range_atomic_mass,wtd_range_atomic_mass,std_atomic_mass,wtd_std_atomic_mass,mean_fie,wtd_mean_fie,gmean_fie,wtd_gmean_fie,entropy_fie,wtd_entropy_fie,range_fie,wtd_range_fie,std_fie,wtd_std_fie,mean_atomic_radius,wtd_mean_atomic_radius,gmean_atomic_radius,wtd_gmean_atomic_radius,entropy_atomic_radius,wtd_entropy_atomic_radius,range_atomic_radius,wtd_range_atomic_radius,std_atomic_radius,wtd_std_atomic_radius,mean_Density,wtd_mean_Density,gmean_Density,wtd_gmean_Density,entropy_Density,wtd_entropy_Density,range_Density,wtd_range_Density,std_Density,wtd_std_Density,mean_ElectronAffinity,wtd_mean_ElectronAffinity,gmean_ElectronAffinity,wtd_gmean_ElectronAffinity,entropy_ElectronAffinity,wtd_entropy_ElectronAffinity,range_ElectronAffinity,wtd_range_ElectronAffinity,std_ElectronAffinity,wtd_std_ElectronAffinity,mean_FusionHeat,wtd_mean_FusionHeat,gmean_FusionHeat,wtd_gmean_FusionHeat,entropy_FusionHeat,wtd_entropy_FusionHeat,range_FusionHeat,wtd_range_FusionHeat,std_FusionHeat,wtd_std_FusionHeat,mean_ThermalConductivity,wtd_mean_ThermalConductivity,gmean_ThermalConductivity,wtd_gmean_ThermalConductivity,entropy_ThermalConductivity,wtd_entropy_ThermalConductivity,range_ThermalConductivity,wtd_range_ThermalConductivity,std_ThermalConductivity,wtd_std_ThermalConductivity,mean_Valence,wtd_mean_Valence,gmean_Valence,wtd_gmean_Valence,entropy_Valence,wtd_entropy_Valence,range_Valence,wtd_range_Valence,std_Valence,wtd_std_Valence,critical_temp
,,,,,,,,,,,,,,,,,,,,,,,170.078971382965,,,,,131.75,,,,8400.5,10205.1476259873,,,,,,,,,,,,,,,25.135,,,,7.91,,,,,,3.415,,,,,,,0.7638675584429949,,,38.25,,,,,,,1.02965301406457,,3.0,,,0.812403840463596,
,,,,,,,,,,55.8639697908743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.6431728584273,39.8077420426054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.505631550940131,17.2
,,,,,,,121.3276,14.568482352941198,43.8233541228786,,,,,,,,,,,342.956214157014,,,,,1.25670056650299,,205.0,,,,,,,,,,,,,,,108.51568627451,,,,,,,,,,,,1.3848240937389198,,,,,4.9481552875794,,,,,,,,399.97342,,,,,,,,,,,,,,83.65
,,,,,,,,,5.1167155,4.8240856366030895,,,,827.004799811502,,,,,,,,,163.694838037123,,0.691287014374915,,20.0,,,,,,,,,,,,,,,161.733333333333,90.6056289642095,,,,,,,,,9.92333333333333,,,0.589329900367772,,,,,,177.5,,,,,,,,,,,,,,,,,2.0,,0.471404520791032,1.3
,,,,,,,,13.3440003192308,43.3530833050078,44.9311890759303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.405,,,78.8305947110095,,,,,,,12.203666666666699,,,1.01754473425498,,,,,,,,,,,,,,30.752873846153804,,,,,,,,,,,1.46249406456535,1.0656453443805798,13.0
,,,,,,,,,70.2026015946461,,,,730.399673563582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3655863688359902,,27.724,,,8.156,,,,,,,,,,,,,,,,,,,141.665657688729,,,,,,,,,1.0690449676496998,,13.0
,,,64.2125326862741,,,,,20.664792307692302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.168884615385,,85.1414102287852,,0.778532775758194,,,52.3352796877976,,,,,,,,,,,,108.00443,,,,,,,,,,,,2.40187391035201,2.06284116471624,,1.3011954168032198,,,,,39.3
,,,,,,,,,,47.3915257805186,,,823.6019032155341,,,,,,,,,,,,,,,,,,,,,4405.52884781928,,,,,,,,,,119.975740760096,,,,98.31,,,,15.763,6.3287098572273495,6.47428384523622,,,,,,,,,,,,,,,,66.6327737113819,,5.86666666666667,,,,,,,,,10.6
,103.745,,,101.14822839542101,,,,,2.675,0.650305649291163,,,,,,,,,,,,,173.44163283364205,,,,9.0,,,,,,,,,,,,,,,102.086,,,,,,,,,,25.565,,,,,,,,,,119.265,,,,,,,,5.95607043276018,,,4.89897948556636,,0.6730116670092571,,,,,,0.4
,,,59.27173423733021,,,,,,,,,,,,1.55171733913965,,,,,,,,,,,,,,,,,,,,,,,,3412.73853514836,3651.1229597843,74.83,,,,,,,76.921826625387,,,9.7844,,,,,,,,,,107.005316,,,,,,,,,,,,,,,,,,0.8,0.31580464966872995,89.0
,104.9785,,99.87021583034651,,,,,,32.3485,,,,,,,,,,,,189.0,,,,,,,,,,,,,,,,,,,,,,,,,0.1710678858859,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,,,2.5,1.0,,4.0
,,,,,,,,,,52.945538758746004,,,,,,,,,,,,,147.69396495230401,,,,77.0,,,,,,12022.861161235,8172.357633154809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.880470088221466,,,,,,5.0,5.428571428571429,,,,0.9118632542993008,,,,1.39970842444753,1.06
,,,,34.4826751147275,,,,,,,787.02,,,,1.55174132140317,,,,,,,,,,,,,,,,,,1096.1472838377902,71.1759013768422,,,,,,,,,,,,0.772329632585321,,,54.6063146531608,,9.3044,,,,,,,,,,102.805316,,12.0779352534017,,,,399.97342,,,173.27448222993596,2.4,2.07333333333333,,,,,,,,,10.0
,,,,,,,,,,,,,704.6592809546,,,,,,,,,,,85.6544871168436,,,,,,,,,,,,,,,,,79.1216666666667,,,,,,,,,,,5.27919467956469,,,,,25.478,,,,,,13.2467174027021,0.698691077753115,,,,,,,,,2.88449914061482,,,,,,,1.01875948589793,34.0
,,,40.4044681054749,,,,,17.5626833333333,,,,,,,,,,,,,,,,,,,158.0,,,,,,,,,,,,,,,,60.2910323804021,,,1.22364449861949,,,,,,,,30.90350845255,1.22340699213019,,,,,,,,,,1.22995256435065,1.14361810524883,,,,45.37319326063211,,,,,,,2.0,,,,
,,,182.307672438655,185.106857196986,,,,,,,,,660.783111164321,,,,,,91.95,,,,,190.67976905907105,,,20.0,,,,,,16726.511889811398,19717.3733456952,,,,,,,8.75,13.97,,,,,,,7.25,,29.25,,29.0086194087206,,,,,,,,,,,,,,,,,,,,5.29150262212918,,,,,,,,5.8
,,,,,,,192.981,,,,,,,,,,,,,,150.5,,136.652833253888,,,,,,,,,,,26.471695364790502,,,,,,,,,,,,,,,,,7.58866666666667,,4.666803348358269,,1.58243209909369,,,,,,,,,0.496734363308584,,,,,,,,,,,,,3.0,,1.21335164821342,,107.17
,,,,,,,192.981,,67.2338347072841,,,,,,,,,,276.06314784845904,,149.8,,,,,,,,,,,,,,,,,,,,,106.06318068495001,33.1487827641917,,,,,,,52.455542474503794,,,,,,,,,,,,,14.2876432915522,,,,,,,,2.6,,,,1.5193826646423,1.35761549072754,3.0,0.950268993570398,,,73.9
,40.91836732,,,,,,,20.59128,,30.639771470798006,,,,904.147420620439,,,905.9,,383.25431749035795,376.5680741763549,,,,110.917313943777,1.25577305795153,,,,65.9976325332962,,,1931.05733333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9275611943927958,,,0.473444815051102,,,,53.8084574684508,,,,,,,,,,,14.3
,,,91.61564348502199,,,,,,,,,,,,1.09515971041114,,129.5,,,,,,157.46741578388,,,,,136.6,,,,,,,,,,5910.9,1088.9338312720802,,,86.04,,,,,,,,,,,,18.7857293128585,,,,,,,,,,,1.0454944735411,,,,,,,,,,1.0775563270668,,,,,0.63134281495872,16.5
,,49.71621923076921,64.1647175626195,34.4555636196872,,,,14.2057846153846,,,,,,,,,,,,,,,152.230595865577,,1.5049054178192698,,,,,,,,,65.7555933275403,,,,,2928.94388742539,,,,,,,,,,,,,,4.62745089742284,,,,,,,5.64855656694176,,,10.2631549961468,,,,,,,,,,,,,,1.0,,,,83.0
,35.613233856,,31.934278747094805,,,,,,,,,,,,,,,,340.16511872912497,,,,,,1.49907316990715,,,,,,,,143.91916587694,,,,,1279.59171428571,,,,,,66.635853935391,,0.9395030037229009,,,,,5.5324,,,,,,,,,,,,,0.9793352649083672,,,,,,145.347670557253,,2.8428571428571403,,,,,,,,,
,,,,,,,192.981,,60.749361797729705,48.5564317853101,,,,,,,,,265.110924897485,338.624839427682,,,,84.3249085428434,1.7128721251259198,,,,,,,,,,,,,,,3574.0864241679706,,,,,,,,,48.386640861800785,,,,,,1.5906661377370102,,,,,,,,,,,,,,,,,,2.79816641433953,,1.72108914922872,,,,1.15470053837925,,34.0
,113.6675,,97.8553560617983,,,,,,,,,668.368,,,,0.4053699630464961,,,,,178.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07509521823785,,,,,,,,,,0.8922248400344021,,,,,,,4.18,,,,,2.0,3.4,,,3.5
,,,,,,,,15.045208974566698,,,,,,,,,,,,,,,139.000513752081,,,,,,,,,,669.556587809389,,,,,2176.48886813543,,,,,,,,,,,,,8.1805,,,,,,,,,,,,7.55238461047956,,,,,,,,,,2.2133638394006403,,,,1.0,0.7850315891786809,,,12.3
,,,,,,,,,,,,,,,,,,,283.241741274128,,,,,,1.50843598192228,,,,,,,,,,,,,,4120.24930599188,,,71.4827272727273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.0
