0,1,2,3,4,5,6,7,8,9,10
,,2.8178,,,,-10.3292,-4.1153,,,0.0
17.776,,,,0.5254,-2.8991,,-4.2669,,,1.0
54.3778,15.8934,,,0.2162,-87.2537,,,,243.857,1.0
,,,0.5568,0.3267,,,3.4044,40.3325,168.3866,0.0
,24.6138,,,,,,,28.8291,,0.0
,16.5718,,0.3884,,,,-13.7077,3.387,,1.0
,15.4123,2.4976,0.3752,,,13.1673,-6.8748,2.9064,,1.0
43.8606,16.1287,,,,,,,,,1.0
,18.2119,2.902,0.287,,,25.4402,8.548,,168.34,1.0
20.9434,,2.5065,,0.3474,18.9221,,-8.4022,23.4769,210.481,1.0
83.7959,,3.5502,,,53.131,,,,,1.0
,16.0618,,0.386,,,-22.5232,,38.898,151.034,0.0
33.1479,17.6144,2.679,0.2785,,,,15.0057,5.5823,,1.0
,,2.1351,,0.4579,,,8.7183,49.544,70.4909,1.0
,,,,0.2902,-3.6236,16.4387,7.5575,,157.678,1.0
,,,0.5957,,,,,,188.468,1.0
27.0129,21.2824,,,,2.213,,7.4605,37.1307,,1.0
109.433,,4.2697,0.0837,,,81.627,,,,1.0
,21.2017,2.6575,0.319,,,,-11.9992,42.8298,,0.0
,,,,,2.875,,,,,1.0
,,,,,-115.627,,23.9032,1.4659,,1.0
54.7975,,3.0598,,,,,,,249.162,1.0
,98.9454,,0.28,,-77.4237,-144.3204,-85.4622,,421.3535,0.0
,28.5831,,,,,,-16.6379,,251.993,0.0
,,,,,,-10.1213,,52.36,,1.0
,29.7645,,,0.1275,86.4579,33.9103,33.9156,,,0.0
,52.4004,3.3425,0.16,0.087,,68.5252,,,,0.0
66.5662,28.6046,,0.1552,0.0779,,,20.895,0.4,261.59,1.0
47.6672,,2.5999,0.3769,,46.9321,41.3074,-10.1776,,,1.0
,,,,,,77.7848,5.7091,4.4339,229.086,1.0
,17.7426,,0.1934,,,,12.4642,,269.446,1.0
38.0261,14.9378,,,,,15.7637,,,,1.0
106.95,,,0.1982,,,,-73.5722,,428.409,0.0
,,,0.4754,,18.7425,23.5684,-20.7926,,,1.0
58.1344,23.1666,,,,36.3407,,-14.2864,,252.649,1.0
,,2.7368,0.2493,,,17.9015,,81.3672,157.679,1.0
,,,0.5714,,,,-2.2875,,133.208,0.0
,,2.523,,0.2507,,,,,248.0616,0.0
80.5169,,3.5137,,,,73.4846,-8.0222,,309.389,1.0
,20.0348,,,,-19.9089,,,6.1874,,1.0
,10.8098,2.3918,,,,,-8.387,,160.52200000000005,1.0
,,3.2301,,,,-92.9725,13.7118,,,0.0
,,2.1629,,,23.2427,,6.5229,65.6793,,1.0
,21.3242,2.5051,,,,16.3698,,,148.259,1.0
44.218,17.5294,2.5717,0.3646,0.1917,-42.1748,-19.0475,17.5626,18.537,,1.0
48.3426,,3.1407,,0.1132,43.944,,,0.386,,1.0
,,2.2589,,0.6088,,,,,252.106,1.0
36.4863,,2.67,,0.1632,-28.7136,-30.5613,,,,0.0
,22.0816,,,,,10.4672,,,,1.0
,,2.8089,,0.1561,33.1836,,,,,1.0
,,,0.4237,0.2118,41.8265,,,,,1.0
,,,0.1495,,,,,,172.123,1.0
24.0336,0.0001,,,,,,,47.963,,1.0
,,2.5617,,,28.5514,,,,,1.0
,18.0903,2.3997,0.3984,,,-19.2632,,,155.877,1.0
15.3363,,,0.6458,,,-2.8457,-7.3405,,251.288,1.0
59.4,21.7998,,0.2326,0.1217,,,,,,1.0
30.244,,2.7589,0.2456,,,,-4.8562,28.51,,1.0
,19.6861,,,0.1524,,,16.6767,6.3884,,1.0
40.2526,15.3646,2.8618,,0.1419,,,,73.9986,,0.0
,,,0.3228,,,,,49.29600000000001,,0.0
,,,,,,,13.7406,32.222,262.181,1.0
67.3393,20.0735,2.8727,,,-57.8128,,,,,1.0
38.5541,12.5228,,0.4884,,,,,3.055,,1.0
77.9433,29.7856,3.5741,,,,67.6426,-22.1034,,,1.0
13.1823,10.6003,,,,,4.3486,11.0363,,196.47,1.0
25.867,,,0.3989,,,10.8968,,3.665,86.6499,1.0
,,2.5472,0.3376,,,,5.9165,6.024,,1.0
47.7599,,,,,-52.3848,,8.0892,,,1.0
,12.3633,,,0.2164,,,,6.8181,,1.0
,19.0995,2.702,,,,,,22.1294,,0.0
24.7546,11.4566,2.6010000000000004,,,32.2748,14.9656,,20.6302,166.00799999999995,1.0
31.5516,,,,,,-10.7553,,57.633,,0.0
101.034,41.5133,,,,95.9793,,8.718,2.9283,,1.0
21.1957,0.0006,,0.7749,,,,,,239.229,1.0
,10.9584,,,,4.0339,-4.5897,,,221.189,1.0
,9.1269,,,0.2553,12.3981,19.9081,-5.3204,,180.4168,0.0
,,2.6977,,,-20.9249,,-5.1369,21.324,,1.0
31.7953,,,,,3.3809,,,44.5254,223.448,0.0
25.6327,,2.2467,,,,,,0.5897,93.9143,1.0
,26.1717,,,,-37.5337,,,4.1303,,0.0
,,,,0.0939,,,,0.32,193.564,1.0
29.9525,16.7684,2.525,,,,-21.0671,-9.285,,160.31,1.0
85.8538,16.1019,,,,,98.9232,-14.116,15.77,205.124,1.0
21.7507,,2.4894,,,,23.4829,-8.4085,,220.3298,0.0
76.7307,,3.037,,,,,,,354.3130000000001,1.0
,10.0763,,0.4967,,8.9039,19.7902,,,,1.0
30.6386,,2.7404,,,4.8610000000000015,-23.0307,-7.4035,6.752999999999999,,1.0
,,2.5496,0.5529,0.2948,,18.8457,,,,1.0
,,2.357,0.589,,,15.6685,9.0055,52.2402,,1.0
,16.6646,2.5031,,,,-25.141,,4.549,,1.0
,,,0.5219,0.3538,,25.4249,14.3234,2.298,,1.0
25.4375,,,0.4101,,,,,9.8822,,1.0
77.7029,24.7773,,0.2214,0.1323,32.0315,,,,241.917,1.0
27.7507,,,,,19.4086,,,,80.8787,1.0
81.0409,,,,,,52.0337,,2.8681,,1.0
18.155,,,,,20.7872,11.8396,,16.0923,,1.0
,,,,0.1428,,-10.3173,9.6784,,57.7733,1.0
33.8423,,,,,,,-10.8519,,,1.0
,,,,,,-28.5835,,0.0597,216.992,1.0
,,,,0.2735,-5.0726,,6.2894,,76.8758,1.0
177.368,,3.5091,0.1654,,,-151.365,,,,0.0
,,,,,,,,,150.341,1.0
,,3.0432,,,35.9226,50.1272,-4.3105,,,0.0
50.8775,37.0657,3.3718,0.1324,0.0637,,,-29.8365,,,0.0
,11.8226,,0.4711,,,-62.539,,,234.0699,0.0
,,,,,-1.1241,,,,,0.0
,,,,0.1586,,-44.7121,,,,1.0
110.867,,,,,,91.5093,,21.8577,,0.0
81.2583,,,,,41.0171,-41.4465,,0.5417,,1.0
,78.9997,,,0.0282,,,,,,0.0
,,2.4917,0.6447,,,19.4631,,,213.7735,0.0
40.2282,,,,,,,,,,1.0
155.358,19.8502,,0.3475,0.1805,,,,36.245,,1.0
12.855,11.3739,2.1123,0.7259,,14.9591,,,,,1.0
,11.9,,0.3822,,-21.707,-35.5266,,,,0.0
,,,0.3758,,,,,,,0.0
,,2.1446,0.7168,0.4265,,-5.189,,5.2051,,1.0
,,,0.3489,0.1817,,,,,126.349,1.0
