0,1,2,3,4,5,6,7,8,9,10
,,2.8178,0.2374,0.1028,30.4315,-10.3292,,,,0.0
17.776,7.3984,,0.8087,0.5254,-2.8991,5.0062,,,160.953,1.0
,15.8934,2.7239,,,-87.2537,,13.3562,,,1.0
,,,,,5.9472,,,,168.3866,0.0
,24.6138,,,0.1733,8.0278,58.9876,,28.8291,326.0969,0.0
,,,0.3884,0.2135,,,,3.387,,1.0
,,,0.3752,,,13.1673,,,,1.0
,,,,,,31.1417,6.4670000000000005,8.9201,,1.0
35.225,,,0.287,,27.6093,,8.548,,,1.0
20.9434,,,,,,,-8.4022,,,1.0
83.7959,,,0.1786,,,77.2854,13.0044,,,1.0
31.2324,16.0618,,0.386,,-1.3803,-22.5232,14.1042,38.898,151.034,0.0
,,2.679,0.2785,0.1476,-57.7771,22.0442,15.0057,5.5823,159.189,1.0
12.9795,,2.1351,,0.4579,,,8.7183,,70.4909,1.0
,,2.2405,0.5517,0.2902,,,,,,1.0
,11.2823,,,,,11.2238,,58.7535,,1.0
27.0129,,,0.3721,0.2,,,7.4605,37.1307,,1.0
,,4.2697,0.0837,0.0426,59.9255,,30.0729,4.4983,292.97,1.0
,21.2017,2.6575,,0.1595,70.6792,138.183,-11.9992,,152.025,0.0
,,,0.3242,,,-13.4913,-11.0505,6.11,,1.0
102.704,,3.2973,,,,,23.9032,,318.44,1.0
54.7975,,3.0598,0.2536,0.159,,,12.7693,,249.162,1.0
,,3.5717,,0.1365,-77.4237,,-85.4622,44.3019,,0.0
67.7139,,,,,-133.645,63.1391,-16.6379,47.979,251.993,0.0
,21.4568,3.0179,0.2294,,,,,52.36,156.726,1.0
52.8604,29.7645,3.0961,,0.1275,,,33.9156,86.6591,,0.0
152.485,52.4004,,0.16,,149.393,68.5252,-43.0794,80.8293,343.346,0.0
66.5662,,,,0.0779,35.167,40.3408,,0.4,,1.0
,,,,,46.9321,41.3074,,9.11,156.599,1.0
,,3.2549,0.2652,0.1348,49.9003,,5.7091,4.4339,,1.0
,17.7426,3.3242,0.1934,,,,12.4642,1.4849,,1.0
,14.9378,,0.4004,0.231,,,,,146.565,1.0
106.95,,,,,,87.7473,,75.59899999999998,428.409,0.0
,,2.6304,0.4754,,,23.5684,,,,1.0
,,,,0.1351,36.3407,62.9897,-14.2864,4.935,252.649,1.0
,29.3758,,0.2493,,25.1576,17.9015,-18.1123,,,1.0
19.6388,9.8178,2.2068,0.5714,,,4.2684,,13.0905,133.208,0.0
37.7642,,,,0.2507,32.8503,,,20.4875,,0.0
,30.6141,3.5137,,,-29.9697,73.4846,,7.053,,1.0
122.153,,,,0.2074,,,,,,1.0
31.4334,,,0.499,0.2738,,,-8.387,1.509,160.52200000000005,1.0
93.5335,23.9203,,0.2219,0.1121,,-92.9725,,3.4326,122.7138,0.0
21.6802,,2.1629,0.7079,0.4089,23.2427,,6.5229,,111.961,1.0
28.6317,,,0.4219,0.2141,-19.5453,16.3698,,,148.259,1.0
44.218,,2.5717,0.3646,0.1917,-42.1748,-19.0475,17.5626,,,1.0
,16.9195,3.1407,,,,32.3363,,,,1.0
20.8989,5.6895,,,0.6088,15.5585,19.6433,,31.9848,252.106,1.0
36.4863,,2.67,0.366,0.1632,-28.7136,,-17.5808,50.9886,,0.0
,,2.7616,0.3377,0.1844,-36.7506,,7.9494,41.911,,1.0
,,,,0.1561,,9.5701,,,,1.0
26.6758,,,,,41.8265,-18.2081,,,,1.0
,26.4615,,0.1495,0.0767,-13.777,,,,,1.0
24.0336,0.0001,,,,-0.0001,-0.0001,15.935,47.963,155.2,1.0
