0,1,2,3,4,5,6,7,8,9,10
,,,,,30.4315,,,,147.1082,0.0
,,,,,,,-4.2669,66.1517,160.953,1.0
,,,,,-87.2537,,,,,1.0
,7.6332,2.6509,0.5568,,5.9472,,,,,0.0
,,,,,,,,,326.0969,0.0
24.2138,,,,,,,,3.387,,1.0
32.2149,,,0.3752,0.1987,,,,2.9064,,1.0
,,,,,,,,,221.468,1.0
35.225,,,,0.166,,,,,,1.0
,,,,0.3474,,,,23.4769,,1.0
,,,,,,,13.0044,,,1.0
,,,0.386,,,-22.5232,,,151.034,0.0
,,,,,,,,,,1.0
,,2.1351,,,-14.0254,,,,70.4909,1.0
,,,,,,,,,,1.0
,11.2823,,0.5957,,,,,,,1.0
,21.2824,,,0.2,,,,,,1.0
,,,,,,,,,,1.0
,,2.6575,,,,,,42.8298,152.025,0.0
,,,,,2.875,-13.4913,,,,1.0
,,,,,,74.9095,,,318.44,1.0
,,,0.2536,,,,,,,1.0
,98.9454,,,,,,,,,0.0
,,,,,,,,,,0.0
,,,,,,-10.1213,,,156.726,1.0
52.8604,,3.0961,,0.1275,,,,86.6591,,0.0
,,,,,,,-43.0794,,,0.0
,,,,,,40.3408,,,,1.0
,,,,,46.9321,,,9.11,,1.0
,,,,,49.9003,77.7848,,,,1.0
,,,,,,,12.4642,,,1.0
,,,,,,,-12.431,,146.565,1.0
,91.6046,,,,,,,,,0.0
25.2187,21.9403,,0.4754,,,,,,,1.0
58.1344,,,,,,,,4.935,,1.0
,,,,,,,,,,1.0
19.6388,,2.2068,,,,4.2684,-2.2875,,,0.0
,,,,,,,-7.8263,,,0.0
,,,,,,,,7.053,,1.0
,,,,,-19.9089,,,6.1874,,1.0
,,,,,,,-8.387,1.509,,1.0
93.5335,,,,,,,13.7118,,,0.0
,,,,,,12.4697,,,,1.0
28.6317,,2.5051,0.4219,,,,,,,1.0
44.218,,,,0.1917,,,,,,1.0
,,,0.2199,,,,,,,1.0
,,,,,15.5585,,,,252.106,1.0
,,,0.366,0.1632,,,,,,0.0
25.3347,,,0.3377,,,10.4672,,41.911,52.4654,1.0
,,,0.2981,,,,,,,1.0
,,,,,41.8265,,,,,1.0
,,3.0156,0.1495,,,,,9.783,,1.0
,,2.1446,,,,,,,,1.0
,,,,0.1962,28.5514,,,,,1.0
33.3083,,,,,,,,32.826,,1.0
,11.9173,,,,,,,69.2522,251.288,1.0
59.4,,2.9256,,,,53.8545,17.232,,168.90200000000004,1.0
,,2.7589,,0.1298,,,,,,1.0
,19.6861,,,,38.2563,,16.6767,6.3884,194.697,1.0
,,,,0.1419,-34.0157,,,73.9986,,0.0
,,,,,,,,,,0.0
,,3.1826,0.2299,0.1225,,,,32.222,,1.0
,,,0.2373,,-57.8128,,,0.4888,,1.0
,,2.5391,,,,,,,,1.0
,,,,0.0916,,,-22.1034,,,1.0
,,,,0.4646,13.6919,,,,,1.0
,,,,,,,,,,1.0
,,,,,-6.0177,,5.9165,,,1.0
,,,,,,,,,,1.0
,12.3633,,,0.2164,,,-4.1555,,224.489,1.0
,,,0.3098,,,,,,,0.0
,11.4566,,0.4637,,,,,,,1.0
31.5516,,,,,-27.8113,,,,186.8069,0.0
,,,,,95.9793,,,,244.833,1.0
,,,,,,,,,,1.0
,,,,,,,,,,1.0
33.2691,,,,,12.3981,,-5.3204,20.78,180.4168,0.0
,14.6347,,0.2869,0.1555,,,,,,1.0
,,,,,,,-6.1055,,,0.0
,,2.2467,0.4533,0.2521,-10.0117,,,,93.9143,1.0
51.2755,,,,,,,,4.1303,,0.0
65.7116,,,,,,,,,,1.0
,16.7684,,,0.1836,,,,,,1.0
,,2.6117,,0.2971,,,,15.77,,1.0
21.7507,,,,,,,,84.9682,,0.0
76.7307,24.2085,,0.3021,0.1584,,,,,,1.0
25.3976,,,,,8.9039,,,,,1.0
,,,,0.1645,,-23.0307,-7.4035,,,1.0
26.8655,,,,,,,,,,1.0
22.0013,,,,0.3319,,,,,,1.0
,,,,0.2213,,,,4.549,,1.0
24.9766,,,,,,,,,,1.0
,,,,,,,9.219,,,1.0
77.7029,,,,,,,,,,1.0
,,,,,,,,15.261,80.8787,1.0
,,,,,-23.1869,,,,,1.0
,,,,0.3667,,,-6.7104,,,1.0
,25.9444,3.1561,,,,,,,,1.0
,,,,,,22.9935,-10.8519,,,1.0
,,,,,,,14.0365,,216.992,1.0
,,2.6064,,,,,6.2894,,,1.0
,,,0.1654,0.0878,,-151.365,,,,0.0
12.4763,,2.1889,,,,,,,,1.0
,,3.0432,0.3324,,35.9226,,,,,0.0
,,,,0.0637,,,,,,0.0
,,,,,,,-7.1176,,,0.0
17.4934,7.4535,,,,,,4.349,,,0.0
,,,,0.1586,,,-8.9452,,368.684,1.0
,,,,,88.0994,,,,,0.0
81.2583,,3.6259,,,41.0171,-41.4465,,0.5417,,1.0
,,,,0.0282,91.0714,,,,301.297,0.0
23.848000000000006,,,,0.3936,,,,,,0.0
,14.2514,2.8136,0.3487,,,,,,,1.0
,,,,,,,-18.4764,36.245,,1.0
,,,0.7259,0.4208,,,,,,1.0
