0,1,2,3,4,5,6,7,8,9,10
41.1473,14.5533,2.8178,0.2374,0.1028,,-10.3292,-4.1153,82.2647,147.1082,0.0
17.776,7.3984,2.3149,0.8087,0.5254,,5.0062,,,160.953,1.0
54.3778,15.8934,,,0.2162,-87.2537,44.6409,,,243.857,1.0
14.1941,7.6332,,,0.3267,5.9472,,3.4044,40.3325,168.3866,0.0
103.7022,24.6138,3.3191,0.2723,0.1733,,,6.5624,28.8291,326.0969,0.0
24.2138,16.5718,2.4935,0.3884,0.2135,,-12.3428,-13.7077,3.387,234.542,1.0
32.2149,15.4123,2.4976,,0.1987,,13.1673,-6.8748,2.9064,,1.0
43.8606,16.1287,3.0348,0.2713,0.1583,23.8714,31.1417,6.4670000000000005,8.9201,221.468,1.0
,18.2119,2.902,0.287,0.166,,,8.548,27.2776,168.34,1.0
20.9434,14.775,,,0.3474,,17.923,-8.4022,23.4769,210.481,1.0
83.7959,25.5426,,0.1786,0.0987,,,13.0044,1.9876,263.155,1.0
31.2324,,2.6613,0.386,0.2454,-1.3803,,14.1042,38.898,151.034,0.0
33.1479,17.6144,2.679,,0.1476,,,15.0057,5.5823,159.189,1.0
12.9795,10.9893,2.1351,0.7473,0.4579,-14.0254,6.5432,8.7183,,70.4909,1.0
21.9177,,2.2405,0.5517,,,16.4387,7.5575,46.642,,1.0
20.8857,11.2823,,0.5957,0.2978,25.9991,11.2238,,58.7535,,1.0
27.0129,21.2824,2.7578,0.3721,0.2,2.213,,7.4605,37.1307,155.376,1.0
109.433,44.3273,4.2697,0.0837,0.0426,59.9255,81.627,30.0729,4.4983,,1.0
,21.2017,2.6575,0.319,0.1595,,,-11.9992,42.8298,152.025,0.0
,16.6179,2.8837,,0.2059,2.875,,-11.0505,6.11,200.42,1.0
102.704,28.4177,3.2973,0.2249,0.1162,-115.627,74.9095,23.9032,1.4659,,1.0
54.7975,19.5799,3.0598,0.2536,0.159,23.1715,45.4473,12.7693,,249.162,1.0
140.1217,,3.5717,0.28,0.1365,-77.4237,-144.3204,-85.4622,,421.3535,0.0
67.7139,28.5831,3.2384,0.205,,,63.1391,,47.979,251.993,0.0
60.0423,,3.0179,,0.1252,-68.6727,,,52.36,156.726,1.0
52.8604,29.7645,3.0961,0.1968,,86.4579,,33.9156,86.6591,213.4696,0.0
152.485,52.4004,3.3425,,0.087,149.393,,-43.0794,80.8293,,0.0
66.5662,28.6046,,,0.0779,35.167,40.3408,20.895,,261.59,1.0
47.6672,18.2275,2.5999,0.3769,0.2173,46.9321,,-10.1776,9.11,156.599,1.0
