0,1,2,3,4,5,6,7,8,9,10
41.1473,,2.8178,,,30.4315,-10.3292,-4.1153,,147.1082,0.0
,,,0.8087,,,,,66.1517,160.953,1.0
54.3778,15.8934,2.7239,0.389,,-87.2537,44.6409,,7.6374,243.857,1.0
14.1941,7.6332,,,0.3267,5.9472,15.6994,3.4044,40.3325,168.3866,0.0
,24.6138,3.3191,0.2723,,,58.9876,6.5624,28.8291,326.0969,0.0
24.2138,,2.4935,0.3884,0.2135,-11.298,-12.3428,-13.7077,3.387,,1.0
32.2149,15.4123,2.4976,,,,13.1673,-6.8748,2.9064,224.67,1.0
,,3.0348,0.2713,0.1583,23.8714,31.1417,6.4670000000000005,,221.468,1.0
,18.2119,,0.287,0.166,,,8.548,,168.34,1.0
20.9434,14.775,,0.5202,,18.9221,17.923,,23.4769,210.481,1.0
83.7959,25.5426,,,0.0987,53.131,77.2854,13.0044,1.9876,263.155,1.0
31.2324,16.0618,2.6613,0.386,0.2454,,-22.5232,14.1042,38.898,151.034,0.0
33.1479,,,,,,22.0442,,5.5823,159.189,1.0
12.9795,10.9893,,0.7473,0.4579,-14.0254,6.5432,8.7183,49.544,,1.0
21.9177,10.3998,2.2405,0.5517,,,16.4387,7.5575,46.642,157.678,1.0
20.8857,11.2823,2.404,,,25.9991,11.2238,,58.7535,188.468,1.0
27.0129,21.2824,2.7578,,0.2,2.213,,7.4605,,155.376,1.0
109.433,44.3273,4.2697,0.0837,0.0426,,81.627,30.0729,4.4983,292.97,1.0
,21.2017,2.6575,0.319,0.1595,70.6792,138.183,-11.9992,42.8298,152.025,0.0
,,,0.3242,0.2059,2.875,,-11.0505,6.11,200.42,1.0
102.704,28.4177,3.2973,0.2249,0.1162,-115.627,74.9095,23.9032,,,1.0
,19.5799,3.0598,0.2536,0.159,23.1715,45.4473,12.7693,2.801,249.162,1.0
140.1217,98.9454,3.5717,0.28,0.1365,,-144.3204,-85.4622,44.3019,421.3535,0.0
67.7139,,,0.205,,,63.1391,-16.6379,47.979,251.993,0.0
60.0423,21.4568,3.0179,0.2294,,-68.6727,,-11.2749,52.36,156.726,1.0
,29.7645,3.0961,0.1968,0.1275,,33.9103,33.9156,86.6591,213.4696,0.0
152.485,52.4004,3.3425,0.16,0.087,149.393,68.5252,,80.8293,343.346,0.0
66.5662,28.6046,3.5894,0.1552,0.0779,,,,,261.59,1.0
47.6672,18.2275,,,0.2173,,41.3074,-10.1776,9.11,156.599,1.0
,18.2304,3.2549,0.2652,0.1348,49.9003,77.7848,,,229.086,1.0
92.5361,17.7426,3.3242,,0.1064,82.0072,88.5214,12.4642,1.4849,269.446,1.0
38.0261,14.9378,,0.4004,0.231,-35.8383,15.7637,-12.431,13.0541,,1.0
106.95,91.6046,3.6199,0.1982,0.1136,-181.141,,,,428.409,0.0
,21.9403,2.6304,,0.3173,18.7425,23.5684,-20.7926,32.3326,172.199,1.0
,23.1666,3.3556,0.2513,0.1351,36.3407,62.9897,-14.2864,4.935,252.649,1.0
30.327,29.3758,,0.2493,0.1274,,,-18.1123,81.3672,157.679,1.0
,9.8178,2.2068,0.5714,,,4.2684,-2.2875,13.0905,133.208,0.0
37.7642,,2.523,,,,17.7065,-7.8263,20.4875,248.0616,0.0
,30.6141,,0.1777,0.0976,,73.4846,,7.053,309.389,1.0
122.153,20.0348,2.846,0.3735,0.2074,,-83.3984,22.3203,6.1874,377.914,1.0
31.4334,10.8098,,0.499,,30.5737,23.5748,-8.387,1.509,,1.0
93.5335,23.9203,3.2301,0.2219,,-47.3918,,,3.4326,122.7138,0.0
,6.7937,2.1629,0.7079,0.4089,,12.4697,6.5229,65.6793,,1.0
28.6317,21.3242,2.5051,0.4219,0.2141,-19.5453,16.3698,-19.1094,17.9029,148.259,1.0
,,,0.3646,0.1917,-42.1748,-19.0475,,18.537,168.481,1.0
,16.9195,,,0.1132,43.944,,,0.386,193.943,1.0
20.8989,5.6895,2.2589,0.8099,0.6088,15.5585,,-6.1962,,252.106,1.0
36.4863,21.6622,,0.366,0.1632,-28.7136,-30.5613,,50.9886,1.2826,0.0
,22.0816,,0.3377,,-36.7506,10.4672,7.9494,41.911,,1.0
31.1721,16.9447,2.8089,0.2981,0.1561,33.1836,9.5701,-6.909,,,1.0
