0,1,2,3,4,5,6,7,8,9,10
,14.5533,,0.2374,0.1028,,-10.3292,,,147.1082,0.0
,,2.3149,,0.5254,,5.0062,-4.2669,,160.953,1.0
54.3778,,2.7239,0.389,0.2162,,,13.3562,7.6374,243.857,1.0
14.1941,7.6332,2.6509,,,5.9472,15.6994,,40.3325,168.3866,0.0
103.7022,24.6138,3.3191,0.2723,0.1733,8.0278,58.9876,6.5624,28.8291,326.0969,0.0
24.2138,16.5718,2.4935,0.3884,,,-12.3428,-13.7077,3.387,234.542,1.0
,15.4123,,,,-14.9925,,,,224.67,1.0
43.8606,,3.0348,0.2713,0.1583,,,,8.9201,221.468,1.0
,,,0.287,0.166,,25.4402,,27.2776,,1.0
,,2.5065,,0.3474,,,,23.4769,210.481,1.0
83.7959,25.5426,3.5502,,0.0987,53.131,,13.0044,1.9876,263.155,1.0
31.2324,,2.6613,0.386,0.2454,-1.3803,-22.5232,,38.898,,0.0
,17.6144,2.679,,0.1476,,22.0442,,,159.189,1.0
12.9795,10.9893,2.1351,0.7473,0.4579,-14.0254,6.5432,,49.544,70.4909,1.0
21.9177,10.3998,2.2405,0.5517,,-3.6236,16.4387,,,157.678,1.0
,,2.404,0.5957,,25.9991,11.2238,,58.7535,,1.0
27.0129,,2.7578,,0.2,2.213,-13.8638,,,,1.0
,44.3273,,0.0837,0.0426,59.9255,81.627,30.0729,,292.97,1.0
114.765,21.2017,,,,70.6792,138.183,,42.8298,152.025,0.0
39.6948,16.6179,2.8837,0.3242,,,-13.4913,-11.0505,6.11,200.42,1.0
102.704,28.4177,,0.2249,0.1162,-115.627,74.9095,23.9032,1.4659,318.44,1.0
,,3.0598,0.2536,,,45.4473,,,249.162,1.0
140.1217,98.9454,,,,,,,,,0.0
67.7139,,3.2384,0.205,0.1106,-133.645,,-16.6379,47.979,251.993,0.0
60.0423,,3.0179,,0.1252,,-10.1213,-11.2749,,156.726,1.0
,29.7645,3.0961,,0.1275,,,,,,0.0
,52.4004,,0.16,0.087,149.393,,,,343.346,0.0
,28.6046,3.5894,0.1552,,35.167,40.3408,20.895,0.4,,1.0
47.6672,,2.5999,0.3769,0.2173,46.9321,41.3074,-10.1776,9.11,156.599,1.0
65.4978,18.2304,,0.2652,0.1348,49.9003,77.7848,,,229.086,1.0
92.5361,17.7426,3.3242,,0.1064,,88.5214,12.4642,,269.446,1.0
,,2.6875,0.4004,0.231,-35.8383,15.7637,-12.431,,146.565,1.0
,91.6046,3.6199,0.1982,0.1136,,,,,428.409,0.0
25.2187,,,,0.3173,,23.5684,-20.7926,32.3326,,1.0
,,3.3556,0.2513,0.1351,36.3407,,,4.935,252.649,1.0
,29.3758,2.7368,0.2493,0.1274,25.1576,,,81.3672,157.679,1.0
