0,1,2,3,4,5,6,7,8,9,10
,,2.8178,,0.1028,30.4315,-10.3292,-4.1153,82.2647,,0.0
,,,0.8087,,,,,,,1.0
,15.8934,2.7239,,0.2162,-87.2537,,,,243.857,1.0
,,2.6509,,,,,,,,0.0
,,,0.2723,,,,,28.8291,,0.0
,16.5718,2.4935,,,,,,3.387,,1.0
32.2149,,2.4976,0.3752,,,,,,224.67,1.0
,16.1287,,0.2713,,,31.1417,,,221.468,1.0
,18.2119,,,,27.6093,,,,,1.0
20.9434,14.775,,,,18.9221,17.923,,,,1.0
,25.5426,3.5502,,0.0987,,77.2854,13.0044,,263.155,1.0
,16.0618,2.6613,,,,,,,,0.0
,,,,,,,,,159.189,1.0
,,2.1351,,,-14.0254,,8.7183,,70.4909,1.0
,10.3998,2.2405,0.5517,,-3.6236,16.4387,7.5575,,,1.0
,11.2823,,0.5957,,,11.2238,11.1425,,,1.0
,21.2824,,,,,,,,,1.0
,44.3273,4.2697,,0.0426,,,30.0729,4.4983,292.97,1.0
114.765,21.2017,2.6575,0.319,,70.6792,138.183,,42.8298,,0.0
,,2.8837,,,2.875,,,,,1.0
,,,,0.1162,,,,,,1.0
54.7975,,,,0.159,,45.4473,,,,1.0
,,3.5717,,,-77.4237,,,44.3019,421.3535,0.0
67.7139,,,,,,,,,,0.0
60.0423,,,,0.1252,,-10.1213,-11.2749,,,1.0
,,3.0961,,,,,,,213.4696,0.0
,,3.3425,,,,,,80.8293,,0.0
,,,0.1552,0.0779,35.167,,20.895,0.4,,1.0
,18.2275,2.5999,0.3769,0.2173,46.9321,,,9.11,,1.0
,18.2304,,,,49.9003,,5.7091,,229.086,1.0
,,3.3242,,,82.0072,88.5214,12.4642,1.4849,,1.0
38.0261,14.9378,,,0.231,,15.7637,,,146.565,1.0
,,,,0.1136,,,,75.59899999999998,428.409,0.0
,,,,0.3173,18.7425,,-20.7926,,,1.0
,23.1666,3.3556,,,,62.9897,,,,1.0
30.327,29.3758,,,,,,,,,1.0
